"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Попытка принять заказ с несуществующим id курьера","tests.orders","Tue Jun 24 16:14:46 YEKT 2025","passed","Tue Jun 24 16:14:46 YEKT 2025","TestAcceptOrder","test_accept_order","",""
"","167","Попытка создания курьера без заполнения обязательных полей","tests.couriers","Tue Jun 24 16:13:39 YEKT 2025","passed","Tue Jun 24 16:13:39 YEKT 2025","TestCreateCourier","test_create_courier","",""
"","184","Положительный кейс создания заказов с разными наборами цветов","tests.orders","Tue Jun 24 16:14:46 YEKT 2025","passed","Tue Jun 24 16:14:47 YEKT 2025","TestCreateOrder","test_create_order","",""
"","176","Попытка получения заказа без заполнения id заказа","tests.orders","Tue Jun 24 16:14:51 YEKT 2025","passed","Tue Jun 24 16:14:51 YEKT 2025","TestGetOrderWithId","test_get_order_with_id","",""
"","170","Попытка принять заказ без заполнения id курьера","tests.orders","Tue Jun 24 16:14:44 YEKT 2025","passed","Tue Jun 24 16:14:44 YEKT 2025","TestAcceptOrder","test_accept_order","",""
"","204","Положительный кейс принятия заказа","tests.orders","Tue Jun 24 16:14:43 YEKT 2025","passed","Tue Jun 24 16:14:43 YEKT 2025","TestAcceptOrder","test_accept_order","",""
"","183","Попытка удаления уже удаленного курьера","tests.couriers","Tue Jun 24 16:13:40 YEKT 2025","passed","Tue Jun 24 16:13:41 YEKT 2025","TestDeleteCourier","test_delete_courier","",""
"","139","Попытка принять заказ без заполнения id заказа","tests.orders","Tue Jun 24 16:14:44 YEKT 2025","passed","Tue Jun 24 16:14:44 YEKT 2025","TestAcceptOrder","test_accept_order","",""
"","223","Положительный кейс удаления курьера","tests.couriers","Tue Jun 24 16:13:39 YEKT 2025","passed","Tue Jun 24 16:13:40 YEKT 2025","TestDeleteCourier","test_delete_courier","",""
"","3570","Положительный кейс получения списка заказов","tests.orders","Tue Jun 24 16:14:47 YEKT 2025","passed","Tue Jun 24 16:14:50 YEKT 2025","TestGetOrderList","test_get_order_list","",""
"","189","Положительный кейс создания заказов с разными наборами цветов","tests.orders","Tue Jun 24 16:14:46 YEKT 2025","passed","Tue Jun 24 16:14:46 YEKT 2025","TestCreateOrder","test_create_order","",""
"","179","Попытка создания дважды одного курьера","tests.couriers","Tue Jun 24 16:13:38 YEKT 2025","passed","Tue Jun 24 16:13:38 YEKT 2025","TestCreateCourier","test_create_courier","",""
"","163","Попытка принять заказ с несуществующим id заказа","tests.orders","Tue Jun 24 16:14:45 YEKT 2025","passed","Tue Jun 24 16:14:45 YEKT 2025","TestAcceptOrder","test_accept_order","",""
"","155","Положительный кейс создания заказов с разными наборами цветов","tests.orders","Tue Jun 24 16:14:47 YEKT 2025","passed","Tue Jun 24 16:14:47 YEKT 2025","TestCreateOrder","test_create_order","",""
"","227","Положительный кейс создания заказов с разными наборами цветов","tests.orders","Tue Jun 24 16:14:46 YEKT 2025","passed","Tue Jun 24 16:14:46 YEKT 2025","TestCreateOrder","test_create_order","",""
"","173","Попытка создания курьера без заполнения обязательных полей","tests.couriers","Tue Jun 24 16:13:39 YEKT 2025","passed","Tue Jun 24 16:13:39 YEKT 2025","TestCreateCourier","test_create_courier","",""
"","178","Положительный кейс получения заказа по id заказа","tests.orders","Tue Jun 24 16:14:51 YEKT 2025","passed","Tue Jun 24 16:14:51 YEKT 2025","TestGetOrderWithId","test_get_order_with_id","",""
"","137","Попытка логина не созданного курьера","tests.couriers","Tue Jun 24 16:13:41 YEKT 2025","passed","Tue Jun 24 16:13:41 YEKT 2025","TestLoginCourier","test_login_courier","",""
"","60179","Попытка логина без заполнения пароля в теле запроса","tests.couriers","Tue Jun 24 16:13:42 YEKT 2025","passed","Tue Jun 24 16:14:42 YEKT 2025","TestLoginCourier","test_login_courier","",""
"","209","Попытка логина без заполнения логина в теле запроса","tests.couriers","Tue Jun 24 16:13:41 YEKT 2025","passed","Tue Jun 24 16:13:42 YEKT 2025","TestLoginCourier","test_login_courier","",""
"","167","Положительный кейс логина курьера","tests.couriers","Tue Jun 24 16:13:41 YEKT 2025","passed","Tue Jun 24 16:13:41 YEKT 2025","TestLoginCourier","test_login_courier","",""
"","230","Положительный кейс создания курьера","tests.couriers","Tue Jun 24 16:13:38 YEKT 2025","passed","Tue Jun 24 16:13:38 YEKT 2025","TestCreateCourier","test_create_courier","",""
"","163","Положительный кейс создания заказов с разными наборами цветов","tests.orders","Tue Jun 24 16:14:46 YEKT 2025","passed","Tue Jun 24 16:14:46 YEKT 2025","TestCreateOrder","test_create_order","",""
"","205","Попытка получения заказа с несуществующим id заказа","tests.orders","Tue Jun 24 16:14:51 YEKT 2025","passed","Tue Jun 24 16:14:51 YEKT 2025","TestGetOrderWithId","test_get_order_with_id","",""
"","178","Попытка удаления курьера без заполнения id курьера","tests.couriers","Tue Jun 24 16:13:41 YEKT 2025","passed","Tue Jun 24 16:13:41 YEKT 2025","TestDeleteCourier","test_delete_courier","",""
